Date,Actual Line Time
2017-07-29,
2017-07-30,25.666666666666668
2017-07-31,86.0
2017-08-01,9.0
2017-08-02,32.0
2017-08-03,54.0
2017-08-04,10.0
2017-08-05,24.5
2017-08-06,55.0
2017-08-07,14.0
2017-08-08,29.0
2017-08-09,46.5
2017-08-10,18.5
2017-08-11,17.0
2017-08-12,45.666666666666664
2017-08-13,33.0
2017-08-14,12.0
2017-08-15,38.0
2017-08-16,58.4
2017-08-17,44.0
2017-08-18,29.5
2017-08-19,10.2
2017-08-20,31.0
2017-08-21,34.666666666666664
2017-08-22,44.666666666666664
2017-08-23,43.0
2017-08-24,30.666666666666668
2017-08-25,65.0
2017-08-26,36.0
2017-08-27,21.0
2017-08-28,
2017-08-29,44.0
2017-08-30,13.0
2017-08-31,16.0
2017-09-01,19.666666666666668
2017-09-02,17.333333333333332
2017-09-03,24.333333333333332
2017-09-04,50.0
2017-09-05,17.0
2017-09-06,18.333333333333332
2017-09-07,17.0
2017-09-08,6.0
2017-09-09,4.0
2017-09-10,
2017-09-11,
2017-09-12,14.0
2017-09-13,7.75
2017-09-14,
2017-09-15,
2017-09-16,14.5
2017-09-17,40.0
2017-09-18,10.0
2017-09-19,
2017-09-20,17.5
2017-09-21,15.0
2017-09-22,28.333333333333332
2017-09-23,64.0
2017-09-24,16.5
2017-09-25,13.5
2017-09-26,14.5
2017-09-27,19.5
2017-09-28,52.0
2017-09-29,24.0
2017-09-30,23.5
2017-10-01,34.0
2017-10-02,29.5
2017-10-03,39.5
2017-10-04,
2017-10-05,19.833333333333332
2017-10-06,38.0
2017-10-07,54.0
2017-10-08,39.0
2017-10-09,23.5
2017-10-10,44.0
2017-10-11,24.0
2017-10-12,71.0
2017-10-13,55.0
2017-10-14,5.0
2017-10-15,32.0
2017-10-16,25.75
2017-10-17,
2017-10-18,34.666666666666664
2017-10-19,74.0
2017-10-20,88.0
2017-10-21,26.8
2017-10-22,
2017-10-23,13.666666666666666
2017-10-24,10.5
2017-10-25,
2017-10-26,23.625
2017-10-27,
2017-10-28,11.0
2017-10-29,26.5
2017-10-30,28.0
2017-10-31,
2017-11-01,14.666666666666666
2017-11-02,26.8
2017-11-03,
2017-11-04,22.75
2017-11-05,
2017-11-06,26.2
2017-11-07,31.0
2017-11-08,27.5
2017-11-09,35.0
2017-11-10,54.5
2017-11-11,44.333333333333336
2017-11-12,24.0
2017-11-13,31.333333333333332
2017-11-14,31.0
2017-11-15,1.0
2017-11-16,
2017-11-17,47.0
2017-11-18,37.0
2017-11-19,24.0
2017-11-20,
2017-11-21,
2017-11-22,9.0
2017-11-23,79.0
2017-11-24,136.0
2017-11-25,15.0
2017-11-26,29.0
2017-11-27,19.5
2017-11-28,23.333333333333332
2017-11-29,18.5
2017-11-30,
2017-12-01,23.0
2017-12-02,37.25
2017-12-03,14.666666666666666
2017-12-04,12.0
2017-12-05,35.0
2017-12-06,56.0
2017-12-07,9.0
2017-12-08,55.5
2017-12-09,30.0
2017-12-10,15.666666666666666
2017-12-11,
2017-12-12,34.0
2017-12-13,10.0
2017-12-14,31.0
2017-12-15,35.6
2017-12-16,36.0
2017-12-17,96.0
2017-12-18,24.0
2017-12-19,41.0
2017-12-20,36.0
2017-12-21,64.0
2017-12-22,29.0
2017-12-23,16.0
2017-12-24,33.666666666666664
2017-12-25,25.333333333333332
2017-12-26,9.0
2017-12-27,39.0
2017-12-28,76.0
