date,SACTMIN,Ride
2015-12-27,,Rock N Rollercoaster
2015-12-28,49.5,Rock N Rollercoaster
2015-12-29,78.0,Rock N Rollercoaster
2015-12-30,154.0,Rock N Rollercoaster
2015-12-31,65.0,Rock N Rollercoaster
2016-01-01,,Rock N Rollercoaster
2016-01-02,53.5,Rock N Rollercoaster
2016-01-03,27.4,Rock N Rollercoaster
2016-01-04,9.0,Rock N Rollercoaster
2016-01-05,92.0,Rock N Rollercoaster
2016-01-06,30.0,Rock N Rollercoaster
2016-01-07,5.0,Rock N Rollercoaster
2016-01-08,16.0,Rock N Rollercoaster
2016-01-09,63.0,Rock N Rollercoaster
2016-01-10,,Rock N Rollercoaster
2016-01-11,21.666666666666668,Rock N Rollercoaster
2016-01-12,21.25,Rock N Rollercoaster
2016-01-13,,Rock N Rollercoaster
2016-01-14,25.666666666666668,Rock N Rollercoaster
2016-01-15,23.0,Rock N Rollercoaster
2016-01-16,92.0,Rock N Rollercoaster
2016-01-17,46.666666666666664,Rock N Rollercoaster
2016-01-18,62.0,Rock N Rollercoaster
2016-01-19,,Rock N Rollercoaster
2016-01-20,13.0,Rock N Rollercoaster
2016-01-21,32.75,Rock N Rollercoaster
2016-01-22,22.5,Rock N Rollercoaster
2016-01-23,4.666666666666667,Rock N Rollercoaster
2016-01-24,,Rock N Rollercoaster
2016-01-25,31.0,Rock N Rollercoaster
2016-01-26,18.88888888888889,Rock N Rollercoaster
2016-01-27,20.0,Rock N Rollercoaster
2016-01-28,16.75,Rock N Rollercoaster
2016-01-29,35.0,Rock N Rollercoaster
2016-01-30,19.2,Rock N Rollercoaster
2016-01-31,12.285714285714286,Rock N Rollercoaster
2016-02-01,14.8,Rock N Rollercoaster
2016-02-02,22.25,Rock N Rollercoaster
2016-02-03,19.0,Rock N Rollercoaster
2016-02-04,37.0,Rock N Rollercoaster
2016-02-05,19.333333333333332,Rock N Rollercoaster
2016-02-06,24.0,Rock N Rollercoaster
2016-02-07,16.0,Rock N Rollercoaster
2016-02-08,27.0,Rock N Rollercoaster
2016-02-09,,Rock N Rollercoaster
2016-02-10,18.0,Rock N Rollercoaster
2016-02-11,44.333333333333336,Rock N Rollercoaster
2016-02-12,37.5,Rock N Rollercoaster
2016-02-13,42.0,Rock N Rollercoaster
2016-02-14,20.2,Rock N Rollercoaster
2016-02-15,22.0,Rock N Rollercoaster
2016-02-16,,Rock N Rollercoaster
2016-02-17,29.166666666666668,Rock N Rollercoaster
2016-02-18,68.0,Rock N Rollercoaster
2016-02-19,51.5,Rock N Rollercoaster
2016-02-20,44.2,Rock N Rollercoaster
2016-02-21,21.6,Rock N Rollercoaster
2016-02-22,21.0,Rock N Rollercoaster
2016-02-23,,Rock N Rollercoaster
2016-02-24,5.0,Rock N Rollercoaster
2016-02-25,2.3333333333333335,Rock N Rollercoaster
2016-02-26,32.0,Rock N Rollercoaster
2016-02-27,53.0,Rock N Rollercoaster
2016-02-28,13.666666666666666,Rock N Rollercoaster
2016-02-29,46.0,Rock N Rollercoaster
2016-03-01,14.0,Rock N Rollercoaster
2016-03-02,4.0,Rock N Rollercoaster
2016-03-03,26.0,Rock N Rollercoaster
2016-03-04,25.0,Rock N Rollercoaster
2016-03-05,37.0,Rock N Rollercoaster
2016-03-06,,Rock N Rollercoaster
2016-03-07,30.714285714285715,Rock N Rollercoaster
2016-03-08,46.0,Rock N Rollercoaster
2016-03-09,15.2,Rock N Rollercoaster
2016-03-10,,Rock N Rollercoaster
2016-03-11,35.666666666666664,Rock N Rollercoaster
2016-03-12,,Rock N Rollercoaster
2016-03-13,53.5,Rock N Rollercoaster
2016-03-14,63.0,Rock N Rollercoaster
2016-03-15,43.0,Rock N Rollercoaster
2016-03-16,56.0,Rock N Rollercoaster
2016-03-17,15.0,Rock N Rollercoaster
2016-03-18,22.0,Rock N Rollercoaster
2016-03-19,46.0,Rock N Rollercoaster
2016-03-20,20.0,Rock N Rollercoaster
2016-03-21,26.25,Rock N Rollercoaster
2016-03-22,16.0,Rock N Rollercoaster
2016-03-23,52.0,Rock N Rollercoaster
2016-03-24,33.0,Rock N Rollercoaster
2016-03-25,120.0,Rock N Rollercoaster
2016-03-26,,Rock N Rollercoaster
2016-03-27,43.4,Rock N Rollercoaster
